Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo,,,,2023-05-26 00:43:07,2023-05-26 00:48:33,5m - 25.800s,PASSED
,,,,,,,
Test Cases/1. Login,,"Negative, positive case",,2023-05-26 00:43:08,2023-05-26 00:44:31,1m - 23.716s,PASSED
"startExistingApplication(""com.swaglabsmobileapp"")",,,,2023-05-26 00:43:08,2023-05-26 00:43:47,38.143s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), 0)",,,,2023-05-26 00:43:47,2023-05-26 00:43:49,2.431s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginPassword-Field""), 0)",,,,2023-05-26 00:43:49,2023-05-26 00:43:50,0.694s,PASSED
"setText(findTestObject(""Application/SauceDemo/Login/LoginPassword-Field""), ""secret_sauce"", 0)",,,,2023-05-26 00:43:50,2023-05-26 00:43:51,1.740s,PASSED
"tap(findTestObject(""Application/SauceDemo/Login/Login-Button""), 0)",,,,2023-05-26 00:43:51,2023-05-26 00:43:52,0.876s,PASSED
"getText(findTestObject(""Application/SauceDemo/Login/UsernameRequired-Validation""), 0)",,,,2023-05-26 00:43:52,2023-05-26 00:43:53,0.964s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), 0)",,,,2023-05-26 00:43:53,2023-05-26 00:43:54,0.351s,PASSED
"setText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), ""standard_user"", 0)",,,,2023-05-26 00:43:54,2023-05-26 00:43:55,1.759s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginPassword-Field""), 0)",,,,2023-05-26 00:43:55,2023-05-26 00:43:56,0.704s,PASSED
"tap(findTestObject(""Application/SauceDemo/Login/Login-Button""), 0)",,,,2023-05-26 00:43:56,2023-05-26 00:43:57,0.851s,PASSED
"getText(findTestObject(""Application/SauceDemo/Login/PasswordRequired-Validation""), 0)",,,,2023-05-26 00:43:57,2023-05-26 00:43:58,0.890s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), 0)",,,,2023-05-26 00:43:58,2023-05-26 00:43:58,0.298s,PASSED
"setText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), ""standart_user"", 0)",,,,2023-05-26 00:43:58,2023-05-26 00:44:01,2.381s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginPassword-Field""), 0)",,,,2023-05-26 00:44:01,2023-05-26 00:44:01,0.656s,PASSED
"setText(findTestObject(""Application/SauceDemo/Login/LoginPassword-Field""), ""secret_sauce"", 0)",,,,2023-05-26 00:44:01,2023-05-26 00:44:03,1.686s,PASSED
"tap(findTestObject(""Application/SauceDemo/Login/Login-Button""), 0)",,,,2023-05-26 00:44:03,2023-05-26 00:44:04,0.783s,PASSED
"getText(findTestObject(""Application/SauceDemo/Login/UsernamePasswordDoNotMatch-Validation""), 0)",,,,2023-05-26 00:44:04,2023-05-26 00:44:05,1.005s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), 0)",,,,2023-05-26 00:44:05,2023-05-26 00:44:05,0.324s,PASSED
